filepath,label,split
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_147.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_203.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_551.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_380.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_536.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_5.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_130.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_155.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_433.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_283.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_313.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_59.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_342.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_223.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_375.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_118.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_418.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_542.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_150.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_60.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_355.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_114.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_344.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_258.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_306.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_585.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_354.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_56.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_173.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_290.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_159.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_44.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_521.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_464.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_156.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_303.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_141.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_564.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_197.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_227.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_518.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_520.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_520.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_1.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_124.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_177.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_140.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_355.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_123.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_168.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_586.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_114.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_462.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_332.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_398.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_574.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_113.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_124.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_473.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_364.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_219.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_213.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_504.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_461.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_302.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_430.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_268.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_194.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_360.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_313.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_244.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_43.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_94.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_472.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_196.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_234.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_211.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_563.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_190.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_395.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_517.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_525.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_229.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_142.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_519.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_422.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_575.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_523.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_496.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_587.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_96.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_415.jpg,dogs,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_464.jpg,cats,train
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_583.jpg,cats,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_237.jpg,dogs,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_341.jpg,cats,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_421.jpg,dogs,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_369.jpg,dogs,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_522.jpg,dogs,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_106.jpg,cats,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_88.jpg,cats,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_528.jpg,cats,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_251.jpg,cats,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_442.jpg,dogs,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_538.jpg,cats,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_236.jpg,dogs,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_377.jpg,dogs,val
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_279.jpg,cats,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_476.jpg,dogs,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_534.jpg,dogs,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_28.jpg,dogs,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_75.jpg,dogs,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_468.jpg,cats,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_528.jpg,dogs,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_255.jpg,cats,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_109.jpg,cats,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_417.jpg,cats,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_191.jpg,dogs,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\dogs\dog_240.jpg,dogs,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_595.jpg,cats,test
C:\Users\Monster\.cache\kagglehub\datasets\samuelcortinhas\cats-and-dogs-image-classification\versions\4\test\cats\cat_18.jpg,cats,test
